company,"sum(total_laid_off)"
"Prime Trust",
Procore,180.0
Properly,71.0
"Protego Trust Bank",
Protocol,60.0
"Protocol Labs",89.0
Provi,
Q4,50.0
Qin1,
Qualcomm,153.0
Qualtrics,270.0
Quidax,20.0
Rasa,59.0
Reach,
Reali,140.0
Realtor.com,
"REE Automotive",31.0
"Religion of Sports",
Remote,100.0
Renmoney,391.0
RenoRun,280.0
"Rent the Runway",
Rhino,57.0
Rhumbix,16.0
Ridecell,35.0
RingCentral,80.0
Ritual,219.0
Rivian,880.0
Roofstock,
"Root Insurance",467.0
"Rubicon Technologies",
Rubius,160.0
SADA,
"Sage Therapeutics",340.0
Salsify,150.0
Sana,
Secfi,
Sendle,27.0
Sensibill,17.0
ServiceTitan,221.0
Shuttl,40.0
"Simple Feast",150.0
Singular,
SIRCLO,160.0
SiriusXM,475.0
Sisense,80.0
Slync,
Smarsh,
Smartsheet,85.0
Snagajob,
Snap,1280.0
Snappy,100.0
Snowplow,40.0
Snyk,228.0
Socure,173.0
Sonder,750.0
Spaceship,
Splice,23.0
Spreetail,
Spring,
Sprinklr,150.0
Spyce,4.0
Stash,32.0
Stax,24.0
"Stay Alfred",221.0
Stone,1300.0
Stord,59.0
Stream,20.0
StreetBees,
Sundae,
SuperRare,
Swiggy,2880.0
Swyft,10.0
Symend,
Synapsica,30.0
Synergysuite,5.0
Synlogic,
Talkdesk,
"Tapas Media",
TaxBit,
TealBook,34.0
TechTarget,60.0
"Teladoc Health",300.0
"The Athletic",46.0
